timestamp,coverage_lines_covered,coverage_lines_total,coverage_percent,lint_duration_seconds,lint_issues,pytest_duration_seconds,pytest_flaky,tests_extra_cases,tests_extra_duration_seconds,tests_integration_cases,tests_integration_duration_seconds,tests_total_cases,tests_total_duration_seconds,tests_ui_cases,tests_ui_duration_seconds,tests_unit_cases,tests_unit_duration_seconds
2025-11-15T17:54:57.346054+00:00,14275,33309,42.86,,,,,,,28,1.021,584,20.977,183,11.938,373,8.018
2025-11-15T18:07:30.769209+00:00,,,,,,,,,,28,1.021,584,19.776,183,11.938,373,6.817
2025-11-15T18:11:44.299647+00:00,,,,,,,,,,28,1.021,584,20.303,183,11.938,373,7.344
2025-11-15T18:14:53.219847+00:00,14261,33333,42.78,,,,,,,28,1.016,584,18.981,183,11.161,373,6.804
2025-11-15T18:25:47.340996+00:00,14261,33333,42.78,,,,,,,28,1.207,584,20.889,183,11.365,373,8.317
2025-11-15T18:35:43.643823+00:00,14261,33333,42.78,,,,,,,28,0.948,584,18.350,183,10.823,373,6.579
2025-11-15T18:37:47.003436+00:00,14261,33333,42.78,,,,,,,28,0.963,584,18.379,183,10.763,373,6.653
2025-11-15T18:44:27.005441+00:00,14261,33333,42.78,,,,,,,28,1.040,584,20.123,183,11.556,373,7.527
2025-11-15T18:54:30.089179+00:00,14261,33333,42.78,,,,,,,28,1.013,584,20.206,183,11.448,373,7.745
2025-11-15T18:56:42.109804+00:00,14261,33333,42.78,,,,,,,28,0.997,584,19.667,183,11.236,373,7.434
2025-11-16T10:44:40.878277+00:00,,,,,,,,,,28,0.997,595,18.388,183,11.236,384,6.155
2025-11-17T12:38:31.076806+00:00,14886,33864,43.96,,,,,,,31,4.951,636,194.384,194,176.475,411,12.958
2025-11-17T17:37:57.422439+00:00,15094,34194,44.14,,,,,,,34,7.424,657,221.907,200,194.563,423,19.920
