2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtWarningMsg]: [SimulationRoot] ⚠️ geometry default for cylinderSegments unavailable (missing key); using fallback 64
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtWarningMsg]: [SimulationRoot] ⚠️ geometry default for cylinderRings unavailable (missing key); using fallback 8
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtWarningMsg]: file:///workspace/PneumoStabSim-Professional/assets/qml/PneumoStabSim/SimulationRoot.qml:894:1: QML Binding: Property 'clearColor' does not exist on View3D.
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtWarningMsg]: file:///workspace/PneumoStabSim-Professional/assets/qml/effects/PostEffects.qml:1130:9: QML Connections: Detected function "onStatusChanged" in Connections element. This is probably intended to be a signal handler but no signal of the target matches the name.
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtWarningMsg]: file:///workspace/PneumoStabSim-Professional/assets/qml/effects/PostEffects.qml:1112:9: QML Connections: Detected function "onStatusChanged" in Connections element. This is probably intended to be a signal handler but no signal of the target matches the name.
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtWarningMsg]: file:///workspace/PneumoStabSim-Professional/assets/qml/effects/PostEffects.qml:998:9: QML Connections: Detected function "onStatusChanged" in Connections element. This is probably intended to be a signal handler but no signal of the target matches the name.
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtWarningMsg]: file:///workspace/PneumoStabSim-Professional/assets/qml/effects/PostEffects.qml:980:9: QML Connections: Detected function "onStatusChanged" in Connections element. This is probably intended to be a signal handler but no signal of the target matches the name.
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtWarningMsg]: file:///workspace/PneumoStabSim-Professional/assets/qml/effects/PostEffects.qml:857:9: QML Connections: Detected function "onStatusChanged" in Connections element. This is probably intended to be a signal handler but no signal of the target matches the name.
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtWarningMsg]: file:///workspace/PneumoStabSim-Professional/assets/qml/effects/PostEffects.qml:839:9: QML Connections: Detected function "onStatusChanged" in Connections element. This is probably intended to be a signal handler but no signal of the target matches the name.
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtWarningMsg]: file:///workspace/PneumoStabSim-Professional/assets/qml/effects/PostEffects.qml:717:9: QML Connections: Detected function "onStatusChanged" in Connections element. This is probably intended to be a signal handler but no signal of the target matches the name.
